Date,Value,Anomaly
189501,33.2,-3.8
189601,33.4,-3.6
189701,34.3,-2.7
189801,38.8,1.8
189901,35.2,-1.8
190001,37.1,0.1
190101,36.4,-0.6
190201,34.6,-2.4
190301,34.9,-2.1
190401,28.1,-8.9
190501,32.0,-5.0
190601,40.5,3.5
190701,38.8,1.8
190801,36.6,-0.4
190901,39.0,2.0
191001,35.5,-1.5
191101,40.0,3.0
191201,28.0,-9.0
191301,45.6,8.6
191401,35.6,-1.4
191501,37.6,0.6
191601,41.0,4.0
191701,37.1,0.1
191801,25.2,-11.8
191901,39.3,2.3
192001,28.5,-8.5
192101,38.5,1.5
192201,32.1,-4.9
192301,33.9,-3.1
192401,38.1,1.1
192501,32.6,-4.4
192601,35.9,-1.1
192701,35.5,-1.5
192801,38.7,1.7
192901,36.6,-0.4
193001,37.3,0.3
193101,36.9,-0.1
193201,46.3,9.3
193301,44.4,7.4
193401,38.6,1.6
193501,33.8,-3.2
193601,33.0,-4.0
193701,44.4,7.4
193801,36.0,-1.0
193901,35.5,-1.5
194001,28.7,-8.3
194101,33.3,-3.7
194201,35.2,-1.8
194301,34.9,-2.1
194401,37.7,0.7
194501,30.2,-6.8
194601,39.3,2.3
194701,42.2,5.2
194801,29.3,-7.7
194901,42.3,5.3
195001,46.9,9.9
195101,41.2,4.2
195201,41.2,4.2
195301,41.2,4.2
195401,35.8,-1.2
195501,34.9,-2.1
195601,35.5,-1.5
195701,33.0,-4.0
195801,35.7,-1.3
195901,36.3,-0.7
196001,37.1,0.1
196101,31.0,-6.0
196201,37.0,0.0
196301,33.7,-3.3
196401,39.3,2.3
196501,33.1,-3.9
196601,36.1,-0.9
196701,40.7,3.7
196801,30.8,-6.2
196901,34.8,-2.2
197001,29.0,-8.0
197101,30.6,-6.4
197201,39.5,2.5
197301,39.6,2.6
197401,39.7,2.7
197501,41.7,4.7
197601,32.5,-4.5
197701,26.1,-10.9
197801,32.2,-4.8
197901,36.6,-0.4
198001,37.3,0.3
198101,30.6,-6.4
198201,30.9,-6.1
198301,37.9,0.9
198401,33.5,-3.5
198501,33.0,-4.0
198601,39.2,2.2
198701,35.8,-1.2
198801,34.1,-2.9
198901,42.3,5.3
199001,45.9,8.9
199101,39.5,2.5
199201,40.9,3.9
199301,40.9,3.9
199401,31.5,-5.5
199501,41.8,4.8
199601,37.0,0.0
199701,39.2,2.2
199801,45.8,8.8
199901,40.8,3.8
200001,37.8,0.8
200101,38.8,1.8
200201,45.4,8.4
200301,32.9,-4.1
200401,31.0,-6.0
200501,37.4,0.4
200601,47.6,10.6
200701,43.6,6.6
200801,42.4,5.4
200901,33.4,-3.6
201001,38.1,1.1
201101,34.8,-2.2
201201,44.2,7.2
201301,40.8,3.8
201401,35.5,-1.5
201501,36.1,-0.9
201601,40.8,3.8
201701,42.8,5.8
201801,38.7,1.7
201901,39.0,2.0
202001,45.2,8.2
202101,39.7,2.7
